Cities,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temperature,Wind Speed
Pálairos,40,GR,1610149334,94,38.7833,20.8833,60.8,4.61
Billings Metropolitan Area,75,US,1610149254,70,45.7833,-108.5007,37.4,0.92
Māngrol,0,IN,1610149337,50,21.1167,70.1167,63.03,19.08
La Ronge,0,CA,1610149338,74,55.1001,-105.2842,24.8,2.3
Porbandar,0,IN,1610149339,58,21.6422,69.6093,61.61,17.34
Ollioules,100,FR,1610149340,78,43.1352,5.848,45.0,1.99
Ola,100,RU,1610149341,81,59.5833,151.2833,-2.25,5.64
Polokwane,67,ZA,1610149342,88,-23.9045,29.4688,68.0,2.3
Nichinan,20,JP,1610149343,59,31.6,131.3667,30.2,5.75
Honiara,67,SB,1610149345,61,-9.4333,159.95,86.4,3.67
Broken Hill,0,AU,1610149346,26,-31.95,141.4333,80.6,9.22
Guangyuan,48,CN,1610149347,56,32.442,105.823,30.0,1.01
Amapá,92,BR,1610149348,96,1.0,-52.0,73.06,3.38
Juegang,0,CN,1610149349,46,32.3174,121.1855,26.01,11.18
Pimenteiras,54,BR,1610149350,56,-6.2453,-41.4192,79.21,3.85
Kudahuvadhoo,39,MV,1610149351,77,2.6708,72.8944,81.9,6.93
Esim,86,GH,1610149352,86,4.8699,-2.2405,78.82,7.54
Sivaki,4,RU,1610149354,86,52.6333,126.75,-20.43,4.54
Bridlington,16,GB,1610149355,90,54.0831,-0.1919,33.01,1.99
Kirakira,93,SB,1610149356,68,-10.4544,161.9205,84.92,6.17
Salina,90,US,1610149341,69,38.8403,-97.6114,37.0,2.46
Noumea,0,NC,1610149358,70,-22.2763,166.4572,86.0,4.61
Atar,0,MR,1610149359,49,20.5169,-13.0499,67.32,5.46
Ahipara,24,NZ,1610149360,68,-35.1667,173.1667,72.43,8.16
Srednekolymsk,98,RU,1610149361,84,67.45,153.6833,-24.0,1.95
Lienz,0,AT,1610149362,79,46.8289,12.769,23.0,4.52
Daru,100,PG,1610149364,74,-9.0763,143.2092,84.78,3.8
Nicoya,0,CR,1610149365,54,10.1483,-85.452,86.0,12.66
Çanakkale Province,75,TR,1610149170,63,40.0833,26.8333,64.4,21.85
Ulladulla,40,AU,1610149343,56,-35.35,150.4667,71.01,2.3
Soke,0,ML,1610149368,16,13.598,-5.9386,79.18,8.37
Larsnes,37,NO,1610149370,70,62.2028,5.5773,37.0,5.01
Yulara,0,AU,1610149371,17,-25.2406,130.9889,86.0,14.97
Tuy Hoa,84,VN,1610149372,84,13.0833,109.3,70.77,17.56
Morondava,29,MG,1610149373,77,-20.2833,44.2833,79.74,3.38
George Town,20,MY,1610149374,83,5.4112,100.3354,78.8,8.32
Broome,40,US,1610149375,93,42.2506,-75.833,21.99,9.22
Rodrigues Alves,40,BR,1610149376,89,-7.738,-72.6509,82.4,2.01
Shimoda,20,JP,1610149378,48,34.6667,138.95,37.4,11.5
Colquechaca,97,BO,1610149379,100,-18.6667,-66.0167,34.5,3.74
Puerto Quijarro,55,BO,1610149380,51,-17.7833,-57.7667,86.18,1.59
Nikolskoye,0,RU,1610149381,92,59.7035,30.7861,14.0,2.24
Messina,90,IT,1610149197,88,38.1933,15.5497,60.01,8.05
Campos Altos,100,BR,1610149383,92,-19.6961,-46.1714,68.18,3.67
Liepāja,90,LV,1610149384,100,56.5419,21.0367,30.2,6.91
Baruun-Urt,0,MN,1610149385,87,46.6806,113.2792,-4.38,10.16
Jacareacanga,91,BR,1610149387,86,-6.2222,-57.7528,76.15,1.61
Onverwacht,40,SR,1610149388,88,5.5833,-55.1833,77.0,6.91
Torbay,90,CA,1610149389,93,47.6666,-52.7314,37.0,18.41
Anadyr,21,RU,1610149390,75,64.75,177.4833,-27.0,11.18
Tessalit,0,ML,1610149391,18,20.1986,1.0114,74.59,11.77
Half Moon Bay,1,US,1610149392,82,37.4636,-122.4286,57.99,12.66
Asău,99,RO,1610149394,74,46.4333,26.4,32.0,1.61
Muzhi,71,RU,1610149395,91,65.3667,64.6667,-7.71,0.72
Puerto Colombia,75,CO,1610149396,83,10.9878,-74.9547,80.6,11.5
Ucluelet,40,CA,1610149397,81,48.9329,-125.5528,46.4,5.75
Vila do Maio,40,CV,1610149398,73,15.1333,-23.2167,73.4,20.71
Yerbogachën,99,RU,1610149399,88,61.2767,108.0108,-6.38,10.85
Shitkino,48,RU,1610149400,83,56.3703,98.3543,-15.23,1.59
Khāsh,0,IR,1610149402,60,28.2211,61.2158,27.72,5.99
Lewistown,1,US,1610149403,64,40.5992,-77.5714,33.8,8.05
Talnakh,100,RU,1610149404,87,69.4865,88.3972,-12.6,9.15
Lensk,100,RU,1610149405,90,60.7253,114.9278,1.49,14.58
Sept-Îles,98,CA,1610149322,68,50.2001,-66.3821,27.0,11.5
Khasan,50,RU,1610149407,81,42.4308,130.6434,2.93,18.34
Bethel,1,US,1610149408,54,41.3712,-73.414,28.99,4.61
Kondinskoye,100,RU,1610149409,94,59.6481,67.41,1.11,3.11
Luleå,90,SE,1610149410,100,65.5842,22.1547,17.6,1.14
Teya,100,RU,1610149411,87,60.3778,92.6267,-1.68,3.42
Beyneu,99,KZ,1610149412,77,45.3167,55.2,27.5,16.2
Itupiranga,20,BR,1610149217,94,-5.1347,-49.3267,82.4,3.44
Yarke Pole,100,UA,1610149415,96,45.608,34.3172,45.64,6.08
Santa Inês,90,BR,1610149416,95,-3.6667,-45.38,75.27,4.05
San Martín,20,AR,1610149417,34,-33.081,-68.4681,82.4,6.91
Laguna,20,US,1610149418,71,38.421,-121.4238,57.99,6.91
Cavalcante,47,BR,1610149419,78,-13.7975,-47.4583,71.67,1.32
Negombo,40,LK,1610149420,94,7.2083,79.8358,77.0,1.14
Chara,25,RU,1610149421,73,56.9064,118.2631,-15.36,3.06
Ust-Kuyga,100,RU,1610149422,87,70.0167,135.6,-15.77,2.68
Aleksandrov Gay,100,RU,1610149424,99,50.147,48.5704,33.73,8.25
Polis,0,CY,1610149425,66,35.0367,32.4264,51.8,3.44
Sibolga,100,ID,1610149426,86,1.7427,98.7792,75.61,0.81
Aserrí,75,CR,1610149427,60,9.8588,-84.0923,73.4,11.5
Mīnāb,0,IR,1610149428,16,27.1467,57.0801,51.8,11.5
Gao,0,ML,1610149429,18,16.6362,1.637,75.24,9.98
Oruzgan,0,AF,1610149430,60,32.8333,66.0,25.95,8.19
Mangai,95,CD,1610149431,98,-4.05,19.5333,65.7,1.03
Bambous Virieux,75,MU,1610149432,83,-20.3428,57.7575,78.8,12.66
Phalaborwa,28,ZA,1610149434,88,-23.943,31.1411,75.2,2.3
Kieta,83,PG,1610149435,60,-6.2167,155.6333,85.57,3.96
Luanda,20,AO,1610149436,83,-8.8368,13.2343,77.0,6.91
Itarema,89,BR,1610149437,78,-2.9248,-39.9167,80.1,15.55
Northam,98,GB,1610149438,86,51.0333,-4.2167,37.0,8.99
Camargo,0,MX,1610149439,24,27.6667,-105.1667,64.99,3.62
Qasigiannguit,36,GL,1610149440,43,68.8193,-51.1922,5.0,19.57
Porto-Novo,40,BJ,1610149441,94,6.4965,2.6036,80.6,9.22
Tchaourou,72,BJ,1610149442,47,8.8865,2.5975,77.97,6.6
Huicheng,0,CN,1610149444,31,23.0385,116.2899,42.8,11.18
Casper,1,US,1610149445,69,42.8666,-106.3131,30.2,12.66
Tucuruí,99,BR,1610149446,92,-3.7661,-49.6725,75.22,5.75
Xichang,90,CN,1610149447,50,27.8964,102.2634,42.01,2.01
Narsaq,90,GL,1610149448,33,60.9167,-46.05,44.6,21.85
Flin Flon,20,CA,1610149449,86,54.7682,-101.865,17.6,4.81
Varhaug,0,NO,1610149450,79,58.6147,5.6457,23.0,2.3
Kannur,91,IN,1610149451,84,11.8675,75.3576,76.41,5.01
Maurānwān,0,IN,1610149452,94,26.4333,80.8833,55.4,3.98
Weihai,100,CN,1610149454,90,37.5017,122.1136,25.05,22.84
Minsk,75,BY,1610149332,93,53.9,27.5667,26.6,4.47
Verkhoyansk,97,RU,1610149456,85,67.5447,133.385,-22.5,1.12
Mtambile,31,TZ,1610149457,84,-5.3833,39.7,78.8,12.44
Felanitx,90,ES,1610149458,87,39.4696,3.1483,48.2,13.8
Ancud,90,CL,1610149459,67,-41.8697,-73.8203,60.01,4.61
Brae,90,GB,1610149460,70,60.3964,-1.353,41.0,20.71
Camacha,40,PT,1610149461,66,33.0833,-16.3333,53.6,21.85
Dwārka,0,IN,1610149462,46,22.2394,68.9678,64.87,22.03
Rāvar,0,IR,1610149464,57,31.2656,56.8055,34.23,2.86
Manyana,87,BW,1610149465,64,-23.4,21.7167,72.91,5.21
Medicine Hat,20,CA,1610149466,60,50.0501,-110.6683,41.0,9.22
Hurghada,0,EG,1610149467,37,27.2574,33.8129,66.2,11.5
Lar,0,IN,1610149468,57,26.2039,83.9717,58.14,4.72
Mananara,48,MG,1610149469,82,-16.1667,49.7667,74.39,3.96
Adrar,0,MR,1610149470,39,20.5022,-10.0711,70.56,8.23
Podporozh'ye,72,RU,1610149471,94,60.9112,34.1706,2.21,3.38
Berlevåg,24,NO,1610149472,92,70.8578,29.0864,19.78,18.99
São Félix do Xingu,61,BR,1610149474,64,-6.6447,-51.995,78.91,2.62
Abonnema,20,NG,1610149475,89,4.7084,6.7931,78.8,5.64
Sola,93,VU,1610149476,74,-13.8833,167.55,83.25,8.75
Chingirlau,100,KZ,1610149477,98,51.095,54.0814,23.97,17.05
Nishihara,75,JP,1610149478,58,26.1842,127.7558,51.8,21.85
Port Said,0,EG,1610149479,88,31.2565,32.2841,64.4,8.05
Lagoa,39,PT,1610149480,61,39.05,-27.9833,55.96,10.27
Huarmey,77,PE,1610149481,82,-10.0681,-78.1522,70.92,9.42
Chimbarongo,22,CL,1610149482,28,-34.7,-71.05,80.6,9.22
Camapuã,47,BR,1610149483,77,-19.5314,-54.0439,75.85,6.06
Susaki,20,JP,1610149485,74,33.3667,133.2833,23.0,3.44
Severnoye,100,RU,1610149486,89,56.3491,78.3619,-11.29,9.91
College,40,US,1610149487,78,64.8569,-147.8028,12.2,0.34
Pisco,0,PE,1610149468,78,-13.7,-76.2167,71.6,23.02
Bobon,99,PH,1610149489,89,12.5246,124.5636,79.0,8.79
Uniontown,100,US,1610149490,62,39.9001,-79.7164,28.0,2.82
High Level,75,CA,1610149369,92,58.5169,-117.136,6.8,4.9
Los Llanos de Aridane,0,ES,1610149492,67,28.6585,-17.9182,57.2,2.3
Pokhara,85,NP,1610149493,32,28.2333,83.9833,56.64,3.96
Tesistán,72,MX,1610149495,34,20.7833,-103.4833,77.0,8.99
Elk River,100,US,1610149496,91,45.3038,-93.5672,19.0,3.96
Tura,98,IN,1610149497,66,25.5198,90.2201,59.38,2.15
Prainha,100,BR,1610149498,80,-1.8,-53.48,78.35,4.27
Genhe,82,CN,1610149499,84,50.7833,121.5167,-23.73,2.71
Mnogovershinnyy,84,RU,1610149500,87,53.9353,139.9242,-23.04,4.32
Lashio,99,MM,1610149501,95,22.9333,97.75,53.42,0.85
Macas,75,EC,1610149502,83,-2.3167,-78.1167,71.6,3.44
Springdale,75,US,1610149476,64,36.1867,-94.1288,35.6,6.91
Aksay,75,RU,1610149505,100,47.26,39.87,39.99,8.95
Departamento de Maldonado,75,UY,1610149507,83,-34.6667,-54.9167,68.0,12.66
Makakilo City,75,US,1610149508,61,21.3469,-158.0858,78.8,8.05
Sandnessjøen,90,NO,1610149509,69,66.0217,12.6316,28.4,3.44
Priiskovyy,83,RU,1610149510,88,51.9333,116.6333,-5.26,2.73
Cayenne,90,GF,1610149512,100,4.9333,-52.3333,75.2,11.45
Katherine,83,AU,1610149513,65,-14.4667,132.2667,84.2,3.44
Vazante,97,BR,1610149514,84,-17.9869,-46.9078,73.0,4.56
Ratnagiri,3,IN,1610149466,79,16.9833,73.3,76.28,2.71
Robe,0,AU,1610149516,52,-37.1833,139.75,71.6,6.73
Krasnosel'kup,100,RU,1610149517,88,65.7,82.4667,-11.38,6.51
Alexandria,0,EG,1610149519,88,31.2156,29.9553,60.8,2.46
Samfya,100,ZM,1610149520,95,-11.3649,29.5565,64.9,7.99
Xining,100,CN,1610149521,77,36.6167,101.7667,9.36,0.85
Agirish,63,RU,1610149522,90,61.9247,63.0231,-15.11,1.54
Sungai Penuh,100,ID,1610149523,95,-2.0833,101.3833,65.97,1.1
Kiama,75,AU,1610149524,65,-34.6833,150.8667,73.0,4.0
Hervey Bay,98,AU,1610149525,85,-25.2986,152.8535,73.0,8.01
Sioux Lookout,90,CA,1610149526,100,50.1001,-91.917,24.8,8.05
Ossora,100,RU,1610149528,94,59.2353,163.0719,9.88,13.35
Abhā,0,SA,1610149472,53,18.2164,42.5053,50.0,1.54
Anchorage,1,US,1610149306,80,61.2181,-149.9003,32.0,7.63
Bonavista,99,CA,1610149531,100,48.6499,-53.1147,37.99,2.3
Muroto-misakicho,20,JP,1610149532,74,33.2833,134.15,23.0,3.44
Willmar,90,US,1610149306,93,45.1219,-95.0433,21.2,1.61
Coahuayana Viejo,75,MX,1610149534,61,18.7333,-103.6833,78.8,8.05
Sampit,100,ID,1610149535,96,-2.5333,112.95,76.41,1.01
Gorontalo,80,ID,1610149536,77,0.5412,123.0595,82.06,2.28
Necochea,25,AR,1610149538,72,-38.5473,-58.7368,60.01,0.54
Bereket,0,TM,1610149539,87,39.2446,55.5154,32.29,10.63
Myitkyina,1,MM,1610149540,78,25.3833,97.4,57.6,1.99
Grindavik,75,IS,1610149541,68,63.8424,-22.4338,23.0,23.02
Ariquemes,83,BR,1610149542,83,-9.9133,-63.0408,77.79,2.68
Saint-Paul-lès-Dax,100,FR,1610149543,93,43.7272,-1.0516,30.99,2.3
Eganville,1,CA,1610149544,50,45.5334,-77.0994,24.8,8.05
Vanavara,18,RU,1610149545,85,60.34,102.2797,-10.82,6.49
Vilyuysk,100,RU,1610149546,87,63.7553,121.6247,-20.76,5.17
Omboué,36,GA,1610149547,91,-1.5746,9.2618,76.53,2.8
Narón,20,ES,1610149549,100,43.5167,-8.1528,41.0,7.72
Nabire,97,ID,1610149550,70,-3.3667,135.4833,84.42,1.01
Abu Dhabi,0,AE,1610149485,41,24.4667,54.3667,59.0,3.44
Pinega,90,RU,1610149552,91,64.7001,43.3936,-7.74,3.65
Launceston,75,AU,1610149257,68,-41.45,147.1667,70.0,14.97
Vaitape,4,PF,1610149554,69,-16.5167,-151.75,81.25,7.07
Buzoeşti,100,RO,1610149555,97,44.5833,24.9167,36.7,4.0
